mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_metric,param_leaf_size,param_algorithm,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,split5_test_Accuracy,split6_test_Accuracy,split7_test_Accuracy,split8_test_Accuracy,split9_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1_macro,split1_test_F1_macro,split2_test_F1_macro,split3_test_F1_macro,split4_test_F1_macro,split5_test_F1_macro,split6_test_F1_macro,split7_test_F1_macro,split8_test_F1_macro,split9_test_F1_macro,mean_test_F1_macro,std_test_F1_macro,rank_test_F1_macro,split0_test_F1_deceased,split1_test_F1_deceased,split2_test_F1_deceased,split3_test_F1_deceased,split4_test_F1_deceased,split5_test_F1_deceased,split6_test_F1_deceased,split7_test_F1_deceased,split8_test_F1_deceased,split9_test_F1_deceased,mean_test_F1_deceased,std_test_F1_deceased,rank_test_F1_deceased,split0_test_F1_hospitalized,split1_test_F1_hospitalized,split2_test_F1_hospitalized,split3_test_F1_hospitalized,split4_test_F1_hospitalized,split5_test_F1_hospitalized,split6_test_F1_hospitalized,split7_test_F1_hospitalized,split8_test_F1_hospitalized,split9_test_F1_hospitalized,mean_test_F1_hospitalized,std_test_F1_hospitalized,rank_test_F1_hospitalized,split0_test_F1_nonhospitalized,split1_test_F1_nonhospitalized,split2_test_F1_nonhospitalized,split3_test_F1_nonhospitalized,split4_test_F1_nonhospitalized,split5_test_F1_nonhospitalized,split6_test_F1_nonhospitalized,split7_test_F1_nonhospitalized,split8_test_F1_nonhospitalized,split9_test_F1_nonhospitalized,mean_test_F1_nonhospitalized,std_test_F1_nonhospitalized,rank_test_F1_nonhospitalized,classifier
0.03657371997833252,0.02014047610168013,2.6641010999679566,0.04106614319571677,uniform,2,135,l1,31,ball_tree,"weights=uniform, p=2, n_neighbors=135, metric=l1, leaf_size=31, algorithm=ball_tree",0.8658095620731218,0.8573724387304138,0.870630775411812,0.8650060265166734,0.8609324758842444,0.8609324758842444,0.8597266881028939,0.8669614147909968,0.8758038585209004,0.8665594855305466,0.8649735201445846,0.005238640693652267,28,0.8175574100496704,0.8063963693833824,0.8268128742497258,0.8147861499261065,0.8129904623137666,0.815715275182984,0.8103254944137176,0.821966194763308,0.8318767650520879,0.8218435656325586,0.8180270560967307,0.007315122494959089,30,0.6255924170616114,0.6071428571428571,0.6496519721577726,0.6177884615384616,0.62004662004662,0.6326767091541136,0.6179640718562874,0.6410256410256411,0.6572104018912529,0.6412037037037037,0.6310302855578321,0.01518280074095092,32,0.9430291801760075,0.9467401285583104,0.9475638051044084,0.9398254478640331,0.9405255878284924,0.9335167354424576,0.9406392694063926,0.9398806792106471,0.9456721915285451,0.9420955882352942,0.9419488613354587,0.003913609434781617,28,0.8840506329113924,0.8653061224489796,0.8832228454869965,0.8867445403758253,0.8783991790661878,0.8809523809523809,0.8723731419784726,0.8849922640536358,0.8927477017364658,0.8822314049586777,0.8811020213969014,0.00728074926942959,30,KNeighbors
0.008040571212768554,0.0019450208380328794,1.8047227382659912,0.09991207865563694,uniform,1,111,manhattan,36,brute,"weights=uniform, p=1, n_neighbors=111, metric=manhattan, leaf_size=36, algorithm=brute",0.8682201687424669,0.8617918842908798,0.8690237042989152,0.8682201687424669,0.8685691318327974,0.8645498392282959,0.8629421221864951,0.864951768488746,0.877411575562701,0.8681672025723473,0.8673847565946111,0.004142552959346474,19,0.8210247626063966,0.8111949981981817,0.823398142770864,0.8197611326449664,0.8230949715840309,0.8209868548277414,0.814705942973041,0.8182797968878291,0.834083547309962,0.8233430057588974,0.820987315556191,0.005757565192021453,20,0.6335697399527187,0.6133651551312649,0.6409356725146199,0.6278240190249703,0.6388888888888888,0.6443418013856813,0.6254458977407847,0.631578947368421,0.6611764705882353,0.6420323325635104,0.6359158925159095,0.012200364630586519,21,0.9472710453283997,0.9485294117647058,0.9504400185270959,0.9429097605893186,0.9459584295612009,0.9358386801099908,0.9432234432234432,0.9421487603305785,0.9462563160312356,0.9448529411764706,0.9447428806642441,0.003855518647095328,19,0.8822335025380711,0.8716904276985743,0.8788187372708758,0.8885496183206106,0.884437596302003,0.8827800829875518,0.8754484879548949,0.8811116829644879,0.8948178553104156,0.8831437435367114,0.8823031734884197,0.006118071444486896,21,KNeighbors
0.00851297378540039,0.0019032736789789013,0.9605463743209839,0.07264750346864986,uniform,2,131,euclidean,45,brute,"weights=uniform, p=2, n_neighbors=131, metric=euclidean, leaf_size=45, algorithm=brute",0.864202490960225,0.853354760948172,0.8690237042989152,0.862193652069104,0.860128617363344,0.8577170418006431,0.8593247588424437,0.8641479099678456,0.8713826366559485,0.8669614147909968,0.8628436987697636,0.00517791961594348,36,0.8163895568419003,0.8014949061023708,0.8252082658105598,0.8124688755533561,0.8114169792060185,0.8122571092562788,0.8099298898342835,0.8180234701156447,0.8276859300076312,0.8218851068434669,0.8156760089571511,0.007442514513266858,37,0.6244131455399061,0.5985748218527316,0.6480836236933798,0.6164874551971327,0.6146682188591386,0.628175519630485,0.6159334126040428,0.633177570093458,0.6518691588785047,0.6396292004634995,0.6271012126812279,0.01568971345799805,37,0.9411764705882353,0.9440879926672777,0.9452181987000928,0.9371271225332721,0.9403606102635229,0.9322964318389753,0.9392416628597533,0.9394495412844037,0.9415016121602948,0.9416091954022988,0.9402068838298125,0.0034401774900009625,37,0.8835790543975597,0.8618219037871033,0.8823229750382068,0.8837920489296636,0.8792221084953941,0.8762993762993763,0.8746145940390545,0.8814432989690721,0.8896870189840944,0.8844169246646026,0.8797199303604127,0.007217875524867255,34,KNeighbors
0.031001949310302736,0.006713542028838305,1.2187263011932372,0.0941956315440825,uniform,1,137,l1,17,kd_tree,"weights=uniform, p=1, n_neighbors=137, metric=l1, leaf_size=17, algorithm=kd_tree",0.8650060265166734,0.8565689031739655,0.8710325431900362,0.8658095620731218,0.8605305466237942,0.8609324758842444,0.8597266881028939,0.867363344051447,0.8770096463022508,0.8653536977491961,0.8649333433667625,0.0056776461039604155,29,0.816687355805387,0.8052673345735917,0.827740961214825,0.8159325430666895,0.8128400759024098,0.8160590613536209,0.8106837886938824,0.8224071061526939,0.8335502176606746,0.8201451966690532,0.8181313641092827,0.007826778852071238,28,0.624113475177305,0.6047619047619047,0.6520231213872832,0.6201923076923077,0.6202090592334495,0.6342592592592593,0.6196172248803827,0.6417736289381564,0.6611374407582938,0.6380510440835266,0.631613846617187,0.016191232246618743,29,0.9430291801760075,0.9458715596330275,0.947075208913649,0.9393939393939394,0.9400369003690037,0.9330889092575618,0.9406392694063926,0.9398806792106471,0.9452873563218391,0.9420955882352942,0.9416398590917361,0.003843445380431175,29,0.8829194120628484,0.8651685393258427,0.8841245533435427,0.8882113821138211,0.8782742681047766,0.8808290155440415,0.8717948717948718,0.8855670103092783,0.8942258559018906,0.8802889576883385,0.881140386618925,0.007774115610782451,28,KNeighbors
0.006657528877258301,0.001687082747522539,1.562089776992798,0.09275288978238211,uniform,2,113,l1,39,brute,"weights=uniform, p=2, n_neighbors=113, metric=l1, leaf_size=39, algorithm=brute",0.8678184009642427,0.8609883487344315,0.8702290076335878,0.8682201687424669,0.8661575562700965,0.8641479099678456,0.8633440514469454,0.8657556270096463,0.8782154340836013,0.8681672025723473,0.8673043707425212,0.004457639443984767,21,0.8208344121049249,0.8105880594518092,0.824958415417842,0.819437224895485,0.8206569787873832,0.8203519699330196,0.8148910855713863,0.8196469333149811,0.835229034260269,0.8231070358966971,0.8209701149633798,0.006108441376845189,22,0.6336866902237926,0.6128266033254157,0.6440281030444965,0.6261904761904762,0.6352128883774454,0.6427745664739885,0.6252983293556086,0.6347724620770129,0.6635294117647059,0.6412037037037037,0.6359523234536647,0.012847202515673258,20,0.9472710453283997,0.9485294117647058,0.9504400185270959,0.9419889502762431,0.9444958371877891,0.9349220898258478,0.9432234432234432,0.9421487603305785,0.9462068965517242,0.9448529411764706,0.9444079394192298,0.0040908637208541335,21,0.8815455007625826,0.8704081632653061,0.8804071246819338,0.8901322482197355,0.8822622107969151,0.8833592534992224,0.8761514841351075,0.8820195775373518,0.8959507944643772,0.8832644628099173,0.8825500820172449,0.006576985914033426,19,KNeighbors
0.025453972816467284,0.0025311161288754658,1.3786449193954469,0.05096626752584505,distance,1,109,l1,28,ball_tree,"weights=distance, p=1, n_neighbors=109, metric=l1, leaf_size=28, algorithm=ball_tree",0.8927280032141423,0.8758537565287264,0.8846926476496585,0.8842908798714343,0.8830385852090032,0.8782154340836013,0.882636655948553,0.8802250803858521,0.8930868167202572,0.8810289389067524,0.8835796798517981,0.0053219234573642915,2,0.8552895857090205,0.8317168835351065,0.8433201943572896,0.8405993173766942,0.8438676399753661,0.8385995069920401,0.8427428150411985,0.8388301630606415,0.8546517291319019,0.8403162394268273,0.8429934074606088,0.006817214867886983,2,0.704784130688448,0.6557377049180327,0.6776084407971864,0.6674612634088201,0.6825938566552902,0.676605504587156,0.6830409356725147,0.673733804475854,0.700352526439483,0.6768149882903981,0.6798733155933182,0.013626532565507946,2,0.9560795191863153,0.9521178637200737,0.9563602599814299,0.9493087557603687,0.9527777777777777,0.9435002296738632,0.9485294117647058,0.9465930018416207,0.9524688509460083,0.9456721915285451,0.9503407862180708,0.004120361082271139,2,0.9050051072522982,0.8872950819672131,0.8959918822932521,0.9050279329608939,0.8962312854930304,0.8956927867151012,0.8966580976863753,0.8961636828644501,0.9111338100102145,0.8984615384615384,0.8987661205704367,0.006305204981395072,2,KNeighbors
0.006927871704101562,0.0016485173490059725,1.7113946676254272,0.04445103881791927,distance,2,104,l1,40,brute,"weights=distance, p=2, n_neighbors=104, metric=l1, leaf_size=40, algorithm=brute",0.8927280032141423,0.8770590598633989,0.8854961832061069,0.8842908798714343,0.8842443729903537,0.8778135048231511,0.8822347266881029,0.8810289389067524,0.8930868167202572,0.8818327974276527,0.8839815283711353,0.005140207126909381,1,0.8554863243699224,0.8330647407048085,0.8442027976689186,0.8408307347271039,0.8450677224367902,0.8379381844544755,0.842610809976475,0.8396163646314081,0.8546517291319019,0.8416372864398189,0.8435106694541623,0.006612714756897061,1,0.7054714784633295,0.6573099415204678,0.6783625730994152,0.6682520808561236,0.6841505131128849,0.6750861079219288,0.6837806301050176,0.6745283018867925,0.700352526439483,0.6799065420560748,0.6807200695461517,0.01341262295008195,1,0.9560795191863153,0.9529953917050691,0.9576940957694096,0.9493087557603687,0.9541454377026402,0.9435002296738632,0.9485294117647058,0.9470290188853063,0.9524688509460083,0.9465437788018434,0.9508294490195528,0.00432656576392539,1,0.9049079754601227,0.8888888888888888,0.896551724137931,0.9049313675648195,0.8969072164948454,0.8952282157676349,0.8955223880597015,0.8972917731221257,0.9111338100102145,0.8984615384615384,0.8989824897967822,0.0059953987433131704,1,KNeighbors
0.029586982727050782,0.009680995884672139,0.880529522895813,0.06881658587781285,distance,1,117,l1,41,kd_tree,"weights=distance, p=1, n_neighbors=117, metric=l1, leaf_size=41, algorithm=kd_tree",0.8911209321012454,0.8758537565287264,0.8854961832061069,0.8838891120932101,0.882636655948553,0.8778135048231511,0.8818327974276527,0.8790192926045016,0.8910771704180064,0.8782154340836013,0.8826954839234755,0.005054556179828576,5,0.8528583726111149,0.8319521486682109,0.8446546650227527,0.8399161351325092,0.8434190388735843,0.8384743222479857,0.841832902547459,0.8370630112518849,0.8518966694842843,0.8365604732954245,0.8418627739135209,0.0062963749362060645,4,0.6994152046783626,0.6565420560747663,0.6807017543859649,0.665871121718377,0.6818181818181818,0.6773455377574371,0.6814469078179697,0.6698113207547169,0.6949352179034158,0.6690058479532164,0.6776893150862409,0.012386028878857615,4,0.955637707948244,0.9516797054763001,0.9563602599814299,0.9493087557603687,0.9527777777777777,0.9430670339761249,0.9485294117647058,0.9456721915285451,0.9511070110701108,0.9442653155228006,0.9498405170806408,0.004313562817069198,4,0.9035222052067381,0.887634684453566,0.8969019807008634,0.9045685279187817,0.8956611570247934,0.895010395010395,0.8955223880597015,0.8957055214723927,0.9096477794793262,0.8964102564102564,0.8980584895736815,0.00588439190059871,5,KNeighbors
0.0336395263671875,0.005930574410906062,2.6275618076324463,0.03898012833598202,uniform,1,109,l2,42,ball_tree,"weights=uniform, p=1, n_neighbors=109, metric=l2, leaf_size=42, algorithm=ball_tree",0.8670148654077943,0.8573724387304138,0.8714343109682603,0.8670148654077943,0.8645498392282959,0.8645498392282959,0.8637459807073955,0.8645498392282959,0.8741961414790996,0.8681672025723473,0.8662595322957992,0.004342993052311647,24,0.8206897199217554,0.8065054124487103,0.826734779250307,0.8181562856178703,0.8184715324674069,0.8212617109401067,0.8162513974002832,0.8188768671668809,0.8329299747649701,0.8227776838907181,0.8202655363869009,0.006517456534730181,24,0.634032634032634,0.6066350710900474,0.647196261682243,0.6266506602641057,0.6306098964326813,0.6452353616532721,0.6288416075650118,0.6348837209302326,0.6651270207852193,0.6395348837209303,0.6358747118156376,0.014513757480026633,23,0.944932901434521,0.9466911764705882,0.9489795918367347,0.9408528198074277,0.9435707678075855,0.9372997711670481,0.9427917620137299,0.9393939393939394,0.9423697556477639,0.9424228466144634,0.94293053321938,0.0032291526974654156,24,0.8831036242981113,0.8661899897854954,0.884028484231943,0.8869653767820774,0.8812339331619538,0.88125,0.877120822622108,0.8823529411764706,0.8912931478619268,0.8863753213367609,0.8819913641256847,0.006407259245582226,24,KNeighbors
0.03686244487762451,0.007808812492281504,1.2846064567565918,0.11920357059603266,uniform,2,148,euclidean,36,kd_tree,"weights=uniform, p=2, n_neighbors=148, metric=euclidean, leaf_size=36, algorithm=kd_tree",0.864202490960225,0.8537565287263962,0.8658095620731218,0.8605865809562073,0.8565112540192926,0.8581189710610932,0.8565112540192926,0.8637459807073955,0.8745980707395499,0.8633440514469454,0.8617184744709521,0.005721932323990734,38,0.8164888937182505,0.8017514914523568,0.8196124547683055,0.8100677905465937,0.8072644874451188,0.8123173998141908,0.8069851931107639,0.8180734216446388,0.8318716244117611,0.8174250503561428,0.8141857807268122,0.008049607505445974,38,0.6251468860164512,0.5990453460620525,0.634032634032634,0.6115107913669064,0.6078886310904872,0.6260069044879172,0.6115702479338843,0.6347724620770129,0.6596736596736597,0.6319444444444444,0.6241592007185449,0.016584038927095184,38,0.9407407407407408,0.9432234432234432,0.9459084604715673,0.9353507565337001,0.938134810710988,0.9331501831501832,0.9383842994066636,0.9376718606782768,0.9433962264150944,0.9407441433164906,0.9396704924647148,0.003699954689739675,39,0.8835790543975597,0.8629856850715747,0.8788962698007153,0.8833418237391747,0.8757700205338809,0.8777951118044722,0.8710010319917441,0.8817759421786268,0.8925449871465295,0.8795865633074935,0.8787276489971771,0.007502873215351017,39,KNeighbors
